"","series_name","meta_mape","rw_drift_mape","arima_mape","ets_mape","nn_mape","tbats_mape","stlm_mape","thetaf_mape","naive_mape","snaive_mape"
"1","W161",0.0198492355256339,0.0177251217343177,0.0188367198737925,0.0194184868180473,0.0421084259652629,0.0232612022235666,0.412548928212501,0.0205435257905261,0.0227858255185546,0.0227858255185546
"2","W107",0.0103013990281811,0.0163612858983221,0.0100107938970749,0.0100318539980142,0.0498688496940658,0.0129305868074841,0.559691340356864,0.0180545903610948,0.0192544054205636,0.0192544054205636
"3","W112",0.00840335707450987,0.00885950181965176,0.0150666469016634,0.012806508266709,0.00670841736498439,0.0180308758152548,0.566041563885996,0.00549905109467262,0.00725199962009966,0.00725199962009966
"4","W84",0.140544527538912,0.132626853481886,0.132035750748828,0.137327843750381,0.162576517642196,0.141872225991851,0.3976685526539,0.137611240830387,0.142571877680827,0.142571877680827
"5","W124",0.0338580616026176,0.0297279300891019,0.0329095049060323,0.0352926423179185,0.0353324822960598,0.0379620400039101,0.382969637302388,0.0283345125004181,0.0268573064564388,0.0268573064564388
"6","W60",0.00520527627353427,0.0048312500488486,0.00548255086988066,0.00793968161505203,0.00536178137798893,0.00511154711470854,0.0393247975718427,0.00484578234599165,0.00498454806444983,0.00498454806444983
"7","W65",0.0240760276296607,0.0591738025312947,0.0209765421223507,0.0417945897402785,0.0505644854954685,0.0193528247299882,0.0575549444883448,0.0423992557072642,0.0576822094014445,0.0576822094014445
"8","W204",0.0152030736664808,0.0107869455891806,0.0142937260830061,0.0118507353745841,0.0205727531302096,0.0201257220619395,0.387615156876047,0.0127023391175458,0.0147753124638415,0.0147753124638415
"9","W88",0.0173408054001982,0.0170261359202495,0.0210321557074585,0.016986846535639,0.00721049408534085,0.0179684259875039,0.555543161252525,0.0096915799947111,0.0141252178891691,0.0141252178891691
"10","W146",0.00480102874016177,0.00770878524840311,0.00558888637484404,0.00678985487355897,0.0308886056556399,0.00462665611733793,0.456067751002239,0.0102722710134962,0.0104601240882988,0.0104601240882988
"11","W199",0.131015304031999,0.0836574315528246,0.164830606434794,0.14527858829645,0.193656611220377,0.144493474845379,0.233572876500368,0.0970372107410802,0.098389795179383,0.098389795179383
"12","W98",0.0644441773099907,0.0686139315813063,0.0628675970681826,0.0717836556816589,0.0484926672846404,0.057438874516295,1.43092280469362,0.0595989707268242,0.0695185169811963,0.0695185169811963
"13","W104",0.0598064373480776,0.051068437228766,0.056660846951171,0.0627497588052384,0.100137644649956,0.0568140068072305,0.337740837321489,0.0618866720846371,0.0692393925737506,0.0692393925737506
"14","W186",0.0130767147494822,0.0187075001397365,0.00676245483254156,0.00425557934001273,0.0175685996740919,0.00926575852024026,0.0131975082914322,0.0157984400171664,0.014586456725475,0.014586456725475
"15","W156",0.00926714726874772,0.00730858855113293,0.00791699036212146,0.00972223243559371,0.0202674270490519,0.0105162904010455,0.406963485278332,0.00863861689577279,0.0106971828266603,0.0106971828266603
"16","W168",0.0772646965869791,0.0763890290963022,0.072060362143708,0.0813541613533194,0.0514737564628041,0.0729481566373459,0.581580467580291,0.0825146452224831,0.0798434085186195,0.0798434085186195
"17","W109",0.00641861466436463,0.00961198672977271,0.0161170162918536,0.00665439520746231,0.195215414052476,0.00600906137808332,0.536357169004849,0.0106212382758511,0.0121921588935194,0.0121921588935194
"18","W102",0.00811535047059888,0.0104004981345878,0.00800254691513802,0.00827609278200376,0.0109614581334197,0.00789713914568318,0.565349643781876,0.00981696238652893,0.0109725589378425,0.0109725589378425
"19","W97",0.0662527182479769,0.07338633958707,0.06848327635844,0.0735801760439737,0.0474081558152849,0.0560350580321968,1.37930069837225,0.0605212132917146,0.0741816141819279,0.0741816141819279
"20","W101",0.00818917874608772,0.00829718197883145,0.00765771331444628,0.0100151533149863,0.0238975935432727,0.0107457057276905,0.186853918970929,0.0129310440904224,0.0151823484670099,0.0151823484670099
"21","W145",0.128709473420997,0.127685319606966,0.138046449236482,0.126560399029204,0.129005755931959,0.126162412670269,0.117323740850762,0.123037619073455,0.130792326150822,0.130792326150822
"22","W71",0.227273784152944,0.204651952790765,0.199853172304222,0.268344040218529,0.27743233155184,0.268322959214299,2.04922787312087,0.227007923139336,0.268496482394643,0.268496482394643
"23","W120",0.111292701204097,0.139420817228821,0.11587758730659,0.117965241905918,0.0704963558644608,0.117077304977529,0.0762227490513421,0.118939266425791,0.126831214878965,0.126831214878965
"24","W76",0.201960689270255,0.210145118811345,0.193291001836496,0.20015480417862,0.260108832501822,0.145197362232644,5.55926733835386,0.208277952049805,0.244560994560995,0.244560994560995
"25","W154",0.0682465593114022,0.0777075189882907,0.0586506111034425,0.0608854195977754,0.0681933634740829,0.0652975242729274,0.0990609436837707,0.0772974251552934,0.0726510241800647,0.0726510241800647
"26","W192",0.0497613115750235,0.0514109951297137,0.0510147476302137,0.0513559425793731,0.0352882142326514,0.05138583983521,0.0632587741580918,0.05141280005202,0.0515390557356012,0.0515390557356012
"27","W158",0.0177460693236169,0.0222951641742359,0.016882192784343,0.0165506382596246,0.0476499485857718,0.0197060876551024,0.504827928233046,0.024805244852828,0.0260075212001217,0.0260075212001217
"28","W200",0.140538263748752,0.111773020987794,0.14229563222315,0.263559604975511,0.223886276493052,0.10275325557493,0.106542782722614,0.121174431342061,0.11540842262205,0.11540842262205
"29","W70",0.0169284973219361,0.0328416348503328,0.021406726537956,0.0155366787053437,0.0293067293335115,0.0166609406642435,0.604724184029436,0.0256385336228641,0.00932013981041625,0.00932013981041625
