"","series_name","meta_mape","rw_drift_mape","arima_mape","ets_mape","nn_mape","tbats_mape","stlm_mape","thetaf_mape","naive_mape","snaive_mape"
"1","MSCI US Equity",0.0287233794237454,0.0176874580344756,0.0303818030924909,0.0165865468117008,0.0267315914958551,0.0165964091616661,0.586407122425112,0.0167257940881822,0.0165859772796427,0.0165859772796427
"2","MXEUG Index",0.00874304852130301,0.00836767144883763,0.0085743179025063,0.00847311372376768,0.0144825636759333,0.00847287030532085,0.210076586523007,0.00843730166419764,0.00847718508224336,0.00847718508224336
"3","MXGB Index",0.00556485098851484,0.00615886144178693,0.00581848188674483,0.00598415542679731,0.00708881984617567,0.005767204690079,0.186397443147008,0.00603475261278081,0.00608638496567308,0.00608638496567308
"4","MXJP Index",0.0104015184604398,0.010830396915102,0.0101013260307424,0.0106948725265093,0.00900436805443808,0.010722014296473,0.221312087185168,0.010725991486683,0.0106950486277311,0.0106950486277311
"5","MXPCJ Index",0.00770239554868595,0.00831869632328665,0.00793688373489743,0.00791366677075193,0.00719072128227611,0.00791067090747196,0.222648981064656,0.00813520671344643,0.00791367529178712,0.00791367529178712
"6","MXEF Index",0.0151711859395179,0.0150189486391114,0.0149429960030743,0.0188108008260601,0.0158458363704366,0.0149666042508697,0.232488792428163,0.014654219962969,0.0141447938021004,0.0141447938021004
"7","SPXL1 Index",0.00522019192291812,0.00595637980811141,0.00610905232660262,0.0064893166717907,0.0132996476439778,0.00659484235014257,0.397995251652107,0.00626391081333896,0.00635276737952064,0.00635276737952064
"8","SPXT Index",0.00516667937241398,0.00604035622763995,0.00607357210947063,0.0056372176073856,0.0325988376104664,0.00693182817715861,0.461629235735032,0.00652353941681882,0.00667614536202238,0.00667614536202238
"9","NDDLJN Index",0.0103068815617351,0.0110513013905103,0.010092586300959,0.0106584363555142,0.0109663394774559,0.0106764418994082,0.30774995081511,0.0108127353642385,0.0106585958851497,0.0106585958851497
"10","MXUS0CS Index",0.0156804433047668,0.0152737285148037,0.0151559508808778,0.0162021338094472,0.0138004304468331,0.0160029620909534,0.329644922200246,0.0156570583942219,0.0161320095693257,0.0161320095693257
"11","MXUS0UT Index",0.0133204673559095,0.0127583054396742,0.0131967430996893,0.0133550798452432,0.0156422549278162,0.0133687694095715,0.262549187287671,0.0130566705378555,0.0133178483888823,0.0133178483888823
"12","MXUS0TC Index",0.0187204744837096,0.0206150303732987,0.0150150502573879,0.0188454507749078,0.0189475814677763,0.0188521772853268,0.0246462028807527,0.0189038913786934,0.0186942912979694,0.0186942912979694
"13","MXUS0HC Index",0.01130555615056,0.0147595995326682,0.00476197182586466,0.0159248805675008,0.0466332178015754,0.0176319419790184,0.443631954015882,0.0153579618200294,0.0157936357860645,0.0157936357860645
"14","MXUS0EN Index",0.00967855839659426,0.00999938949504128,0.00985108834861837,0.00989202613041395,0.00984203578849465,0.00990900990705441,0.194335449559726,0.00997120130689864,0.00967812234543469,0.00967812234543469
"15","MXUS0IT Index",0.0140798455339705,0.0131832208458118,0.0270715424885155,0.0126828971937845,0.0300939576723226,0.0127134262095548,0.508891132799012,0.0128330339947987,0.0127787590397197,0.0127787590397197
"16","MXUS0IN Index",0.0175789369333289,0.0166347352110615,0.0168616952311226,0.0176770535740111,0.0297121234455454,0.0176797791769304,0.386479550404666,0.0172894572915652,0.0175578301695511,0.0175578301695511
"17","MXUS0MT Index",0.00909059215067847,0.00879227116212572,0.00929783943019492,0.00923941250148672,0.00911539424018029,0.00923603129536949,0.339771609698735,0.00908453801681274,0.00908327986943589,0.00908327986943589
"18","MXUS0CD Index",0.0203426345670258,0.00700557919756945,0.02222851594779,0.00754510636072213,0.0371586350084392,0.0073619548433975,0.492391389007815,0.00732925937863038,0.00754520032637518,0.00754520032637518
"19","MXUS0FN Index",0.00589863736978226,0.00543151489347703,0.00637295325076868,0.00557274593996361,0.0066124582612403,0.00557304153331263,0.263146520454543,0.00557950700991921,0.0054965756744781,0.0054965756744781
"20","SPBDUSBT Index",0.00135292646777482,0.00137917202380224,0.00142521781115798,0.00139561235819047,0.00603406878626504,0.00137476824399943,0.169200921118222,0.00134493002789627,0.00137802432371032,0.00137802432371032
"21","JUC0 Index",0.00432889233766754,0.00363566599913004,0.00321498144819231,0.00363664859331485,0.0229949091393753,0.00364875933667095,0.378025805592617,0.00413121925880797,0.00472156711587654,0.00472156711587654
"22","SPBDEGIT Index",0.00342997573202561,0.00386431789833175,0.00388815459454882,0.00384173406994519,0.00280421495178782,0.00314698308236721,0.222894799025916,0.00346256575102339,0.00302485317915195,0.00302485317915195
