"","series_name","meta_mape","rw_drift_mape","arima_mape","ets_mape","nn_mape","tbats_mape","stlm_mape","thetaf_mape","naive_mape","snaive_mape"
"1","D2654",0.012932081242481,0.0181646340993168,0.0166748660382969,0.017676534251252,0.00926352861797713,0.0167555370030908,0.298384756150576,0.0178038720409091,0.0176770391930477,0.0176770391930477
"2","D3427",0.00886366010480903,0.0285162196965565,0.027263360120011,0.028182906357466,0.0203980879096369,0.0264790279382335,0.561035091389904,0.0273570327767104,0.0264932317146335,0.0264932317146335
"3","D2598",0.010756939531468,0.0101980973937602,0.0102624097507922,0.0119111278441344,0.00940000908160512,0.0121129506833816,0.373453256351106,0.0104382453124833,0.0109691426662013,0.0109691426662013
"4","D3275",0.0084320451095267,0.00764318919918086,0.00776688643835193,0.0076342281655824,0.010663076570134,0.00727195191123176,0.181288462819273,0.00796752802159231,0.00763335459857693,0.00763335459857693
"5","D3391",0.0166273479943052,0.0178214667553887,0.0173532082270438,0.0168268031841243,0.0150295519834843,0.0170273421948945,0.182616924704431,0.0173029821580692,0.0168293880058883,0.0168293880058883
"6","D2404",0.0519778404003934,0.0513411564897848,0.0510634260182921,0.0511565884165124,0.0547637946013647,0.0510372437465874,0.473408862105519,0.0510937511759015,0.0511563062000046,0.0511563062000046
"7","D3555",0.0786642915331237,0.0674511586073892,0.378374305507708,0.0715686945597988,0.0913777313677317,0.0729722798257767,1.20482015875146,0.0718352408565399,0.0724560260558511,0.0724560260558511
"8","D2912",0.0142085790011173,0.0143164312813806,0.0137370924948787,0.0139421795523061,0.0156242634819382,0.013861278645212,0.0342331746585803,0.0141087234987531,0.0139419942686107,0.0139419942686107
"9","D2178",0.0725849428244031,0.513348465201062,0.163269707500152,0.0895519594254161,0.267455143865413,0.0699072199809918,0.211747629554224,0.49855134233871,0.459511456592658,0.459511456592658
"10","D3157",0.0131876269881749,0.0115546014392019,0.0134102910815234,0.0134336896795397,0.022176745369644,0.0134924278303706,0.336736470361743,0.0125592907602029,0.0131904159658868,0.0131904159658868
"11","D3008",0.0742466593573346,0.0666568308260367,0.0724678051488489,0.0708583843509701,0.110453976427303,0.0716791112248411,1.3576585218846,0.0704508179458911,0.0724678051488489,0.0724678051488489
"12","D3514",0.0183940104231424,0.0152939261216743,0.0150577183607991,0.015129993350947,0.0214778798374286,0.0154366406264331,0.0203842612165273,0.0149964399647688,0.015130006252526,0.015130006252526
"13","D2060",0.0249863132983565,0.0284208776339763,0.0228054669315701,0.0228056568632209,0.0326985558816309,0.0226675763565341,0.0136871238508522,0.0243446973131308,0.0228054669315701,0.0228054669315701
"14","D3019",0.0371657538276217,0.0369936660741641,0.0378251123506769,0.0366496413091894,0.0345345119757951,0.0384131823477046,0.0383634545872992,0.0381875343885251,0.0383703623633667,0.0383703623633667
"15","D2623",0.0103303837425879,0.0127860302027442,0.01112322325676,0.0111137998899279,0.00929416423502008,0.0110907597850949,0.156868184250402,0.0117361194211526,0.01112322325676,0.01112322325676
"16","D3107",0.0129039900400049,0.0119234707760236,0.0126555874188125,0.0121779050294933,0.0134992892118508,0.0127972664455801,0.183497278225503,0.0123814560230558,0.0130185713196679,0.0130185713196679
"17","D3358",0.0647976877727775,0.065957354293802,0.0646478598128661,0.0643066458335521,0.0656717197141288,0.0641078064725446,0.0487639000713683,0.0655674958801768,0.0643054269154589,0.0643054269154589
"18","D2646",0.0209025834966972,0.00934789440894312,0.00935442908211322,0.00935444285093084,0.0269149516207914,0.00935341332004793,0.874349943473365,0.00935920697803927,0.00935442908211322,0.00935442908211322
